VPN,Category,Producer Name,Product Name,Container,FOB,Volume Amount,Volume Unit,Pack Size,Style,ABV,Country,Coupler,UPC/EAN,COLA,Cases per Layer,Cases per Pallet
16988,BEER,Siren,Calypso (Whiskey Sour) 30L KeyKeg,PET,$180.00 ,30,L,1,Sour w bourbon-infused oak and lemon zest/juice,4,England,KeyKeg,,,12,24
16993,BEER,Siren,Caribbean Chocolate Cake (Salted Cherry) 12x330mL,,$56.00 ,330,Ml,12,Black Forest inspired CCC with sea salt & cherry,7.4,England,,,,18,216
16996,BEER,Siren,Caribbean Chocolate Cake (Salted Cherry) 20L KeyKeg,PET,$185.00 ,20,L,1,Black Forest inspired CCC with sea salt & cherry,7.4,England,KeyKeg,,,20,40
14817,BEER,Siren,Caribbean Chocolate Cake 20L KeyKeg,PET,$185.00 ,20,L,1,"Tropical stout w/cacao, cypress wood, lactose",7.4,England,KeyKeg,,,20,40
16992,BEER,Siren,Caribbean Chocolate Cake NITRO 12x330mL,,$56.00 ,330,Ml,12,"Tropical stout w/cacao, cypress wood, lactose",7.4,England,,,,18,216
16994,BEER,Siren,Caribbean Chocolate CUPCAKE 12x330mL,,$53.00 ,330,Ml,12,"Tropical session stout w cacao, cypress, vanilla",5.4,England,,,,18,216
16995,BEER,Siren,Caribbean Chocolate CUPCAKE 20L KeyKeg,PET,$180.00 ,20,L,1,"Tropical session stout w cacao, cypress, vanilla",5.4,England,KeyKeg,,,20,40
14819,BEER,Siren,Death By Caribbean Chocolate Cake 20L KeyKeg,PET,$185.00 ,20,L,1,Doubled-down version with way more cacao & wood,10.2,England,KeyKeg,,2.2319E+13,20,40
15850,BEER,Siren,Maiden 2022 12x375ml,,$110.00 ,375,Ml,12,Incredible BA blended barleywine,11.2,England,,,,15,90
16986,BEER,Siren,Mixed Blessings 12x375ml bottles,,$89.00 ,375,Ml,12,"Bourbon BA stout, lime zest & hand toasted coconut",12,England,,,,15,90
16997,BEER,Siren,Slam Duck 20L KeyKeg,PET,$125.00 ,20,L,1,Duckpond collab; tropical juicy DIPA,8,England,KeyKeg,,2.334E+13,20,40
15966,BEER,Siren,Static Charge 12x375ml bottles,,$92.50 ,375,Ml,12,"Saison aged w grape pomace, skin-contact wine vibe",7.7,England,,,,15,90
9176,BEER,Thiriez,Ambree d'Esquelbecq (Amber) 24x330ml,,$78.00 ,330,Ml,24,"amber farmhouse ale with spicy, earthy notes",5.8,France,,3.56541E+12,2.2087E+13,11,66
13648,BEER,Thiriez,Ambree d'Esquelbecq (Amber) 30L Dolium,PET,$200.00 ,30,L,1,"amber farmhouse ale with spicy, earthy notes",5.8,France,A-Type,,2.223E+13,14,28
7167,BEER,Thiriez,Blonde d'Esquelbecq Farmhouse Ale 24x330ml,,$76.00 ,330,Ml,24,Gorgeous saison-like blonde ale,6.5,France,,3.56541E+12,2.2087E+13,11,66
13649,BEER,Thiriez,Blonde d'Esquelbecq Farmhouse Ale 30L Dolium,PET,$195.00 ,30,L,1,Gorgeous saison-like blonde ale,6.5,France,A-Type,,2.223E+13,14,28
3369,BEER,Thiriez,Extra Farmhouse Ale 24x330ml,,$78.00 ,330,Ml,24,"Lovely, nuanced saison",4.5,France,,3.56541E+12,2.2087E+13,11,66
10002217,BEER,Thiriez,Extra Farmhouse Ale 30L Dolium,PET,$200.00 ,30,L,1,"Lovely, nuanced saison",4.55,France,A-Type,,2.223E+13,14,28
16591,BEER,Thiriez,Winter Pepper 24x330ml,,$78.00 ,330,Ml,24,"Ale w/ Malabar, Phu Quoc & Ashanti peppercorns",7.5,France,,,2.3177E+13,11,66
13647,BEER,Thiriez,/Jester King La Petite Princesse 24x330ml,,$76.00 ,330,Ml,24,"Delightful table beer, just 2.9%!",2.9,France,,3.56541E+12,2.2087E+13,11,66
9231,BEER,Thiriez,/Jester King La Petite Princesse 30L PolyKeg,PET,$200.00 ,30,L,1,"Delightful table beer, just 2.9%!",2.9,France,A-Type,,,14,28
14906,BEER,Tommie Sjef,Cuvee 6x750ml,,$145.00 ,750,Ml,6,Wild ale w/ Pinot Blanc/Muscat/Olasz Rizling grape,7.4,Netherlands,,,2.2298E+13,12,108
14908,BEER,Tommie Sjef,Druif 6x750ml,,$145.00 ,750,Ml,6,Wild ale with red Kékfrankos wine grapes,8.1,Netherlands,,,2.2293E+13,12,108
14907,BEER,Tommie Sjef,Sprong 6x750ml,,$145.00 ,750,Ml,6,A blend of wild ale and dry-hopped saison w/ herbs,7.2,Netherlands,,,,12,108
10113,"CIDER, MEAD, WINE, SPIRITS",Arizia,VERMOUTH 6x750ml,,$126.00 ,750,Ml,6,A new take on an old beverage! Vermouth w/cider,15,Spain (Basque),,,,20,140
5459,"CIDER, MEAD, WINE, SPIRITS",Begiristain Sidra,Begiristain Gorenak Sidra Natural 8x375ml,,$23.00 ,375,Ml,8,Exceptionally refined Basque cider,6,Spain,,,,15,90
4577,"CIDER, MEAD, WINE, SPIRITS",Frederiksdal,Kirsebaervin 5L Glass Demijohn,,$125.00 ,,,1,5L Vessel for serving cherry wine,,Denmark,,,,10,100
10003195,"CIDER, MEAD, WINE, SPIRITS",Frederiksdal,Kirsebaervin Late Bottled 6x500ml,,$90.00 ,500,Ml,6,Long-aged cherry wine,15,Denmark,,,,31,124
10001076,"CIDER, MEAD, WINE, SPIRITS",Frederiksdal,Kirsebaervin Nordic Cherry Likor 6x500ml,,$120.00 ,500,Ml,6,Intense spirit fortified w/ cherry juice,17,Denmark,,,,31,124
5972,"CIDER, MEAD, WINE, SPIRITS",Frederiksdal,Kirsebaervin RANCIO 3L Bag-in-Box,,$130.00 ,,,1,"Cherry wine, aged in sun, cognac bbls",14,Denmark,,,,20,100
4842,"CIDER, MEAD, WINE, SPIRITS",Frederiksdal,Kirsebaervin RANCIO 6x500ml,,$125.00 ,500,Ml,6,"Cherry wine, aged in sun, cognac bbls",14,Denmark,,,,31,124
10001498,"CIDER, MEAD, WINE, SPIRITS",Frederiksdal,Kirsebaervin Reserve 6x500ml,,$120.00 ,500,Ml,6,Wild-ferment sour cherry wine!,15,Denmark,,5.71058E+12,,31,124
4844,"CIDER, MEAD, WINE, SPIRITS",Frederiksdal,Kirsebaervin SUR LIE 3L Bag-in-Box,,$110.00 ,,,1,For use with glass demijohn,15,Denmark,,,,20,100
10001078,"CIDER, MEAD, WINE, SPIRITS",Frederiksdal,Kirsebaervin Sur Lie 6x500ml,,$100.00 ,500,Ml,6,"Rich, rounded, cherry wine!",15,Denmark,,,,31,124
10000076,"CIDER, MEAD, WINE, SPIRITS",Frederiksdal,Kirsebaervin Vin Af Kirsebaer 6x500ml,,$90.00 ,500,Ml,6,"Layered, intense cherry wine",15,Denmark,,,,31,124
10003111,"CIDER, MEAD, WINE, SPIRITS",Hogan's,DRY Cider 12/500mL,,$25.00 ,330,Ml,12,Earthy bittersweet dry cider,6.7,England,,,H100,18,90
7885,"CIDER, MEAD, WINE, SPIRITS",Mousserende,AEblevin Sparkling Apple Brut 6x750ml,,$35.00 ,750,Ml,6,Sparkling Apple wine made w/ organic Danish apples,6,Denmark,,,,22,110
4857,"CIDER, MEAD, WINE, SPIRITS",Peckham's,Boysenberry Cider 24x330ml cans,,$25.00 ,330,Ml,24,Incredibly juicy cider w/boysenberry,5.6,New Zealand,,9.4219E+12,,12,72
3736,"CIDER, MEAD, WINE, SPIRITS",Peckham's,Moutere Apple Cider 24x330ml cans,,$25.00 ,330,Ml,24,Heritage apples from family orchard,5.8,New Zealand,,9.4219E+12,,12,72
12163,"CIDER, MEAD, WINE, SPIRITS",Ribela,Besta Hopped Cider 24x330ml,,$25.00 ,330,Ml,24,Traditional Galician cider!,5.5,Spain,,,,1,1
10003069,"CIDER, MEAD, WINE, SPIRITS",Ribela,Sidra Natural 12x700ml,,$30.00 ,700,,12,Traditional Galician cider!,5.5,Spain,,,,14,70
