VPN,Category,Producer Name,Product Name,Container,FOB,Volume Amount,Volume Unit,Pack Size,Style,ABV,Country,Coupler,UPC/EAN,COLA,Cases per Layer,Cases per Pallet
14740,BEER,Freigeist,Geisterzug Rhubarb 1/6 bbl steel keg (U.S.),Keg,$93.00 ,5.2,Gallons,1,Great tart wheat w/ rhubarb!,5.2,US - Missouri,Type D,,,20,40
6928,BEER,Freigeist,Geisterzug RHUBARB Gose 6x4x16oz (U.S.),,$52.00 ,16,Oz,24,Great tart wheat w/ rhubarb!,5.2,US - Missouri,,8-18534-02536-5,2.1189E+13,10,70
13115,BEER,Freigeist,"Gute Nacht, Marie! 24x330ml",,$170.00 ,330,Ml,24,Imperial stout-eisbock hybrid,13,Germany,,,2.1099E+13,12,63
16122,BEER,Freigeist,Hauptstadt Helles 1/2 bbl steel keg (U.S.) -- last 1!,Keg,$180.00 ,15.5,Gallons,1,BLUEJACKET collab Helles,5.5,US - Missouri,Type D,,,20,40
16120,BEER,Freigeist,Hauptstadt Helles 1/6 bbl steel keg (U.S.),Keg,$93.00 ,5.2,Gallons,1,BLUEJACKET collab Helles,5.5,US - Missouri,Type D,,,20,40
16118,BEER,Freigeist,Hauptstadt Helles 6x4x16oz (U.S.),,$52.00 ,16,Oz,24,BLUEJACKET collab Helles,5.5,US - Missouri,,,2.3131E+13,10,70
13114,BEER,Freigeist,Qimmersoriartorfissuaq (Qimmer) 24x330ml -- last 2!,,$170.00 ,330,Ml,24,Barleywine-eisbock hybrid,14,Germany,,,2.1126E+13,12,63
15774,BEER,Freigeist,Radler 1/2 bbl steel keg (U.S.),Keg,$180.00 ,15.5,Gallons,1,Refreshing lemon radler made w/ Ottekolong Kolsch,5,US - Missouri,Type D,,,20,40
15773,BEER,Freigeist,Radler 1/6 bbl steel keg (U.S.),Keg,$93.00 ,5.2,Gallons,1,Refreshing lemon radler made w/ Ottekolong Kolsch,5.2,US - Missouri,Type D,,,20,40
15772,BEER,Freigeist,Radler 4x6x12oz (U.S.),,$52.00 ,612,Oz,4,Refreshing lemon radler made w/ Ottekolong Kolsch,5,US - Missouri,,4.26046E+12,2.3079E+13,10,70
13116,BEER,Freigeist,Schimmelreiter 24x330ml,,$105.00 ,330,Ml,24,Danziger Jopenbier-style ale,13,Germany,,,2.1099E+13,12,63
16847,BEER,Freigeist,/Birds Fly South/Sibeeria/Westbound Smoke 20L PolyKeg,PET,$250.00 ,20,L,1,100% smoked malt beer w/ yeast from each brewery,6,Germany,A-Type,,,20,40
16841,BEER,Freigeist,/Birds Fly South/Sibeeria/Westbound Smoke 6/750mL,,$115.00 ,750,Ml,6,100% smoked malt beer w/ yeast from each brewery,6,Germany,,,,16,80
16840,BEER,Freigeist,/Brekeriet/Ca del Brado Euroblend 2021 6/750mL,,$125.00 ,750,Ml,6,Lightly smoky blend of Swedish/Italian/German beer,6,Germany,,,,16,80
16848,BEER,Freigeist,/Brekeriet/Ca del Brado Euroblend 20L PolyKeg,PET,$265.00 ,20,L,1,Lightly smoky blend of Swedish/Italian/German beer,6,Germany,A-Type,,,20,40
16838,BEER,Freigeist,/Dr. Loosen Oxidation 6/750mL,,$115.00 ,750,Ml,6,German sour ale with spont ferm Riesling wine,6,Germany,,,,16,80
